DATE,TEMP,PRECIPITATION,RAIN
2025-07-31,23.8,0.2,0.2
2025-08-01,24.0,5.9,5.9
2025-08-02,22.7,10.3,10.3
2025-08-03,22.3,7.6,7.6
2025-08-04,21.7,9.5,9.5
2025-08-05,22.3,0.3,0.3
2025-08-06,22.0,0.1,0.1
2025-08-07,21.1,10.7,10.7
2025-08-08,21.6,8.7,8.7
2025-08-09,21.9,4.6,4.6
2025-08-10,21.9,1.5,1.5
2025-08-11,21.9,12.0,12.0
2025-08-12,22.0,0.9,0.9
2025-08-13,21.5,2.4,2.4
2025-08-14,21.8,7.5,7.5
2025-08-15,21.0,17.0,17.0
2025-08-16,21.3,7.8,7.8
2025-08-17,21.5,3.0,3.0
2025-08-18,22.3,4.2,4.2
2025-08-19,23.3,0.1,0.1
2025-08-20,22.8,1.6,1.6
2025-08-21,22.1,3.2,3.2
2025-08-22,21.9,4.0,4.0
2025-08-23,22.0,15.1,15.1
2025-08-24,22.8,2.0,2.0
2025-08-25,22.7,2.1,2.1
2025-08-26,23.4,1.3,1.3
2025-08-27,23.2,2.4,2.4
2025-08-28,23.4,0.5,0.5
2025-08-29,23.1,2.2,2.2
2025-08-30,22.8,5.0,5.0
2025-08-31,22.0,7.7,7.7
2025-09-01,22.6,18.3,18.3
2025-09-02,22.2,8.5,8.5
2025-09-03,23.4,0.5,0.5
2025-09-04,22.4,10.3,10.3
2025-09-05,22.2,2.4,2.4
